x,y,label,affiliation,num_tweets
-0.796623123,25.199194,scottfraserndp,BC NDP,12
-163.2619548,-58.70187027,scotty_quesnel,BC NDP,1851
47.95906867,141.4149717,selinarobinson,BC NDP,21744
88.06393852,-66.73911536,ShaneLSimpson,BC NDP,1859
51.4103406,-51.29116136,shelleycook4ndp,BC NDP,83
-22.57399262,26.09084145,shirleybond,BC Liberal Party,11389
148.7780467,6.096747355,silveirandp,BC NDP,276
-120.9638596,51.30553534,simon_rear,BC Green Party,725
-73.55516521,-26.72491921,soniafurstenau,BC Green Party,4404
-101.4726818,52.85028756,srobertsbc,BC Liberal Party,645
-139.76083,262.9788866,staceypierceybc,BC Liberal Party,199
-29.14145297,35.45080508,Stephanie4BC,BC Liberal Party,12210
-26.01347063,52.20869084,Steve4Kelowna,BC Liberal Party,2634
72.86910134,-84.60377711,stevedarling,BC Liberal Party,9247
-2.892591342,12.14924023,stevekimbc,BC Liberal Party,2420
48.75126175,-166.9786558,Stilwell4BC,BC Liberal Party,9099
-55.34651369,99.61841117,suemoen,BC Green Party,873
4.64604498,-0.710304549,suepowellndp,BC NDP,133
66.35608956,67.54583494,SusanChambersBC,BC Liberal Party,60
-30.72722823,15.80295416,SuzanneAnton,BC Liberal Party,5341
107.525282,-37.07954776,sylvialindgren,BC NDP,124
181.8053437,58.06403011,taftgerry,BC NDP,220
73.20839536,-12.16181987,tariksayeed,BC NDP,180
-14.85499808,18.01614636,tegart_jackie,BC Liberal Party,2806
-95.47928357,32.54424183,Teresa_Wat,BC Liberal Party,2998
-4.137632135,75.2355785,toddstonebc,BC Liberal Party,4888
-66.64377158,-148.5600038,TomShypitka,BC Liberal Party,10
-19.38460737,41.64655816,tracyrediesbc,BC Liberal Party,288
-259.6749746,123.1960927,trangnguyenbc,BC Liberal Party,159
244.671333,-33.5604452,twiggjohn,BC First,9365
31.66632096,-10.60494678,vanisledevelop,Independent,3989
43.53780547,-8.77340178,vikramjsbajwa,,2481
-217.1930162,-24.48263503,votegeorgechow,BC NDP,26
10.9209132,132.8405341,votekalenharris,BC Green Party,1731
-64.84643485,12.25720935,votemichael,BC Green Party,954
-78.87014639,101.3185357,WayneFroese,BC Green Party,17
-66.55089163,51.28895619,Wilkinson4BC,BC Liberal Party,1296
